1,Воробьев Никита,53,80886
4,Широков Святослав,70,91746
6,Косарев Макар,52,72670
11,Кузнецов Святослав,38,75298
12,Дьяконов Светлана,48,97533
13,Николаева Кирилл,50,95988
14,Гуров Семён,41,98129
15,Смирнов Василиса,38,83362
16,Гаврилов Нина,44,79049
17,Зайцев Есения,58,72108
18,Терентьев Дмитрий,76,65390
23,Александрова Илья,67,76618
24,Галкина Святослав,51,69548
33,Широков Софья,50,79664
34,Тихонова Кристина,73,90062
37,Филиппова Агния,41,83233
38,Орлов Рустам,68,70488
40,Ларионова Вадим,68,72544
45,Окулов Леонид,56,88553
47,Петров Ульяна,39,63025
50,Панкова Валерия,39,92105
52,Исаков Тигран,62,86627
53,Жуков Милана,59,86143
58,Попова Сергей,35,75797
